datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,MIDATL,AE,AECO,743.433,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,AEP,AEPAPT,3711.292,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,AEP,AEPIMP,2784.658,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,AEP,AEPKPT,637.650,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,AEP,AEPOPT,5630.039,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,AP,AP,4445.382,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,MIDATL,BC,BC,2329.464,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,CE,CE,9727.558,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,DAY,DAY,1727.000,False
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,DEOK,DEOK,2616.065,False
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,SERC,SOUTH,DOM,DOM,8056.476,False
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1344.688,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,DUQ,DUQ,1183.987,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,MIDATL,DPL,EASTON,16.426,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,SERC,WEST,EKPC,EKPC,1509.091,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,MIDATL,JC,JC,1776.308,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,MIDATL,ME,ME,1294.809,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,ATSI,OE,5774.706,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,OVEC,OVEC,48.000,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,WEST,ATSI,PAPWR,462.081,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,MIDATL,PE,PE,2819.506,True
11/1/2019 5:00:00 AM,11/1/2019 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,1987.090,True
