pnode_id,pnode_name,pnode_type,pnode_subtype,zone,voltage_level,effective_date,termination_date
1,PJM-RTO,AGGREGATE,ZONE,,,9/8/2017 12:00:00 AM,12/31/9999 12:00:00 AM
3,MID-ATL/APS,AGGREGATE,ZONE,,,9/8/2017 12:00:00 AM,12/31/9999 12:00:00 AM
48592,ALDENE  230 KV  T-10,BUS,LOAD,PSEG,230 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48593,ALDENE  230 KV  T-20,BUS,LOAD,PSEG,230 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48594,ATHENIA 26 KV   AB GRP,BUS,LOAD,PSEG,26 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48595,ATHENIA 26 KV   OU GRP,BUS,LOAD,PSEG,26 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48596,ATHENIA 26 KV   IM GRP,BUS,LOAD,PSEG,26 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48603,BELLEVIL230 KV  26KV,BUS,LOAD,PSEG,230 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48604,BELLEVIL230 KV  26KV-2,BUS,LOAD,PSEG,230 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48605,BENNETTS230 KV  13KV,BUS,LOAD,PSEG,230 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48606,BENNETTS230 KV  13KV-2,BUS,LOAD,PSEG,230 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48612,BRIDGEWA230 KV  26KV,BUS,LOAD,PSEG,230 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48613,BRIDGEWA230 KV  26KV-2,BUS,LOAD,PSEG,230 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48614,BRIDGEWA230 KV  13KV,BUS,LOAD,PSEG,230 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48615,BRIDGEWA230 KV  13KV-2,BUS,LOAD,PSEG,230 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48621,CLIF PS 230 KV  T-1,BUS,LOAD,PSEG,230 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48622,CLIF PS 230 KV  T-2,BUS,LOAD,PSEG,230 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48629,DEYRD   138 KV  13KV,BUS,LOAD,PSEG,138 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
48643,FOUNDRY 138 KV  T-1,BUS,LOAD,PSEG,138 KV,4/1/1998 12:00:00 AM,12/31/9999 12:00:00 AM
