datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
12/16/2019 4:00:00 AM,12/15/2019 11:00:00 PM,MIDATL,0.000
12/16/2019 4:00:00 AM,12/15/2019 11:00:00 PM,OTHER,0.000
12/16/2019 4:00:00 AM,12/15/2019 11:00:00 PM,RFC,0.000
12/16/2019 4:00:00 AM,12/15/2019 11:00:00 PM,RTO,0.000
12/16/2019 4:00:00 AM,12/15/2019 11:00:00 PM,SOUTH,0.000
12/16/2019 4:00:00 AM,12/15/2019 11:00:00 PM,WEST,0.000
12/16/2019 3:00:00 AM,12/15/2019 10:00:00 PM,MIDATL,0.000
12/16/2019 3:00:00 AM,12/15/2019 10:00:00 PM,OTHER,0.000
12/16/2019 3:00:00 AM,12/15/2019 10:00:00 PM,RFC,0.000
12/16/2019 3:00:00 AM,12/15/2019 10:00:00 PM,RTO,0.000
12/16/2019 3:00:00 AM,12/15/2019 10:00:00 PM,SOUTH,0.000
12/16/2019 3:00:00 AM,12/15/2019 10:00:00 PM,WEST,0.000
12/16/2019 2:00:00 AM,12/15/2019 9:00:00 PM,MIDATL,0.000
12/16/2019 2:00:00 AM,12/15/2019 9:00:00 PM,OTHER,0.000
12/16/2019 2:00:00 AM,12/15/2019 9:00:00 PM,RFC,0.000
12/16/2019 2:00:00 AM,12/15/2019 9:00:00 PM,RTO,0.000
12/16/2019 2:00:00 AM,12/15/2019 9:00:00 PM,SOUTH,0.000
12/16/2019 2:00:00 AM,12/15/2019 9:00:00 PM,WEST,0.000
12/16/2019 1:00:00 AM,12/15/2019 8:00:00 PM,MIDATL,0.000
12/16/2019 1:00:00 AM,12/15/2019 8:00:00 PM,OTHER,0.000
12/16/2019 1:00:00 AM,12/15/2019 8:00:00 PM,RFC,0.000
12/16/2019 1:00:00 AM,12/15/2019 8:00:00 PM,RTO,0.000
12/16/2019 1:00:00 AM,12/15/2019 8:00:00 PM,SOUTH,0.000
12/16/2019 1:00:00 AM,12/15/2019 8:00:00 PM,WEST,0.000
12/16/2019 12:00:00 AM,12/15/2019 7:00:00 PM,MIDATL,0.000
12/16/2019 12:00:00 AM,12/15/2019 7:00:00 PM,OTHER,0.000
12/16/2019 12:00:00 AM,12/15/2019 7:00:00 PM,RFC,0.000
12/16/2019 12:00:00 AM,12/15/2019 7:00:00 PM,RTO,0.000
12/16/2019 12:00:00 AM,12/15/2019 7:00:00 PM,SOUTH,0.000
12/16/2019 12:00:00 AM,12/15/2019 7:00:00 PM,WEST,0.000
12/15/2019 11:00:00 PM,12/15/2019 6:00:00 PM,MIDATL,0.000
12/15/2019 11:00:00 PM,12/15/2019 6:00:00 PM,OTHER,0.000
12/15/2019 11:00:00 PM,12/15/2019 6:00:00 PM,RFC,0.000
12/15/2019 11:00:00 PM,12/15/2019 6:00:00 PM,RTO,0.000
12/15/2019 11:00:00 PM,12/15/2019 6:00:00 PM,SOUTH,0.000
12/15/2019 11:00:00 PM,12/15/2019 6:00:00 PM,WEST,0.000
12/15/2019 10:00:00 PM,12/15/2019 5:00:00 PM,MIDATL,0.000
12/15/2019 10:00:00 PM,12/15/2019 5:00:00 PM,OTHER,0.000
12/15/2019 10:00:00 PM,12/15/2019 5:00:00 PM,RFC,0.000
12/15/2019 10:00:00 PM,12/15/2019 5:00:00 PM,RTO,0.000
12/15/2019 10:00:00 PM,12/15/2019 5:00:00 PM,SOUTH,0.000
12/15/2019 10:00:00 PM,12/15/2019 5:00:00 PM,WEST,0.000
12/15/2019 9:00:00 PM,12/15/2019 4:00:00 PM,MIDATL,0.000
12/15/2019 9:00:00 PM,12/15/2019 4:00:00 PM,OTHER,0.000
12/15/2019 9:00:00 PM,12/15/2019 4:00:00 PM,RFC,0.000
12/15/2019 9:00:00 PM,12/15/2019 4:00:00 PM,RTO,0.000
12/15/2019 9:00:00 PM,12/15/2019 4:00:00 PM,SOUTH,0.000
12/15/2019 9:00:00 PM,12/15/2019 4:00:00 PM,WEST,0.000
12/15/2019 8:00:00 PM,12/15/2019 3:00:00 PM,MIDATL,0.000
12/15/2019 8:00:00 PM,12/15/2019 3:00:00 PM,OTHER,0.000
12/15/2019 8:00:00 PM,12/15/2019 3:00:00 PM,RFC,0.000
12/15/2019 8:00:00 PM,12/15/2019 3:00:00 PM,RTO,0.000
12/15/2019 8:00:00 PM,12/15/2019 3:00:00 PM,SOUTH,0.000
12/15/2019 8:00:00 PM,12/15/2019 3:00:00 PM,WEST,0.000
12/15/2019 7:00:00 PM,12/15/2019 2:00:00 PM,MIDATL,0.000
12/15/2019 7:00:00 PM,12/15/2019 2:00:00 PM,OTHER,0.000
12/15/2019 7:00:00 PM,12/15/2019 2:00:00 PM,RFC,0.000
12/15/2019 7:00:00 PM,12/15/2019 2:00:00 PM,RTO,0.000
12/15/2019 7:00:00 PM,12/15/2019 2:00:00 PM,SOUTH,0.000
12/15/2019 7:00:00 PM,12/15/2019 2:00:00 PM,WEST,0.000
12/15/2019 6:00:00 PM,12/15/2019 1:00:00 PM,MIDATL,0.000
12/15/2019 6:00:00 PM,12/15/2019 1:00:00 PM,OTHER,0.000
12/15/2019 6:00:00 PM,12/15/2019 1:00:00 PM,RFC,0.000
12/15/2019 6:00:00 PM,12/15/2019 1:00:00 PM,RTO,0.000
12/15/2019 6:00:00 PM,12/15/2019 1:00:00 PM,SOUTH,0.000
12/15/2019 6:00:00 PM,12/15/2019 1:00:00 PM,WEST,0.000
12/15/2019 5:00:00 PM,12/15/2019 12:00:00 PM,MIDATL,0.000
12/15/2019 5:00:00 PM,12/15/2019 12:00:00 PM,OTHER,0.000
12/15/2019 5:00:00 PM,12/15/2019 12:00:00 PM,RFC,0.000
12/15/2019 5:00:00 PM,12/15/2019 12:00:00 PM,RTO,0.000
12/15/2019 5:00:00 PM,12/15/2019 12:00:00 PM,SOUTH,0.000
12/15/2019 5:00:00 PM,12/15/2019 12:00:00 PM,WEST,0.000
12/15/2019 4:00:00 PM,12/15/2019 11:00:00 AM,MIDATL,0.000
12/15/2019 4:00:00 PM,12/15/2019 11:00:00 AM,OTHER,0.000
12/15/2019 4:00:00 PM,12/15/2019 11:00:00 AM,RFC,0.000
12/15/2019 4:00:00 PM,12/15/2019 11:00:00 AM,RTO,0.000
12/15/2019 4:00:00 PM,12/15/2019 11:00:00 AM,SOUTH,0.000
12/15/2019 4:00:00 PM,12/15/2019 11:00:00 AM,WEST,0.000
12/15/2019 3:00:00 PM,12/15/2019 10:00:00 AM,MIDATL,0.000
12/15/2019 3:00:00 PM,12/15/2019 10:00:00 AM,OTHER,0.000
12/15/2019 3:00:00 PM,12/15/2019 10:00:00 AM,RFC,0.000
12/15/2019 3:00:00 PM,12/15/2019 10:00:00 AM,RTO,0.000
12/15/2019 3:00:00 PM,12/15/2019 10:00:00 AM,SOUTH,0.000
12/15/2019 3:00:00 PM,12/15/2019 10:00:00 AM,WEST,0.000
12/15/2019 2:00:00 PM,12/15/2019 9:00:00 AM,MIDATL,0.000
12/15/2019 2:00:00 PM,12/15/2019 9:00:00 AM,OTHER,0.000
12/15/2019 2:00:00 PM,12/15/2019 9:00:00 AM,RFC,0.000
12/15/2019 2:00:00 PM,12/15/2019 9:00:00 AM,RTO,0.000
12/15/2019 2:00:00 PM,12/15/2019 9:00:00 AM,SOUTH,0.000
12/15/2019 2:00:00 PM,12/15/2019 9:00:00 AM,WEST,0.000
12/15/2019 1:00:00 PM,12/15/2019 8:00:00 AM,MIDATL,0.000
12/15/2019 1:00:00 PM,12/15/2019 8:00:00 AM,OTHER,0.000
12/15/2019 1:00:00 PM,12/15/2019 8:00:00 AM,RFC,0.000
12/15/2019 1:00:00 PM,12/15/2019 8:00:00 AM,RTO,0.000
12/15/2019 1:00:00 PM,12/15/2019 8:00:00 AM,SOUTH,0.000
12/15/2019 1:00:00 PM,12/15/2019 8:00:00 AM,WEST,0.000
12/15/2019 12:00:00 PM,12/15/2019 7:00:00 AM,MIDATL,0.000
12/15/2019 12:00:00 PM,12/15/2019 7:00:00 AM,OTHER,0.000
12/15/2019 12:00:00 PM,12/15/2019 7:00:00 AM,RFC,0.000
12/15/2019 12:00:00 PM,12/15/2019 7:00:00 AM,RTO,0.000
12/15/2019 12:00:00 PM,12/15/2019 7:00:00 AM,SOUTH,0.000
12/15/2019 12:00:00 PM,12/15/2019 7:00:00 AM,WEST,0.000
12/15/2019 11:00:00 AM,12/15/2019 6:00:00 AM,MIDATL,0.000
12/15/2019 11:00:00 AM,12/15/2019 6:00:00 AM,OTHER,0.000
12/15/2019 11:00:00 AM,12/15/2019 6:00:00 AM,RFC,0.000
12/15/2019 11:00:00 AM,12/15/2019 6:00:00 AM,RTO,0.000
12/15/2019 11:00:00 AM,12/15/2019 6:00:00 AM,SOUTH,0.000
12/15/2019 11:00:00 AM,12/15/2019 6:00:00 AM,WEST,0.000
12/15/2019 10:00:00 AM,12/15/2019 5:00:00 AM,MIDATL,0.000
12/15/2019 10:00:00 AM,12/15/2019 5:00:00 AM,OTHER,0.000
12/15/2019 10:00:00 AM,12/15/2019 5:00:00 AM,SOUTH,0.000
12/15/2019 10:00:00 AM,12/15/2019 5:00:00 AM,WEST,0.000
12/15/2019 10:00:00 AM,12/15/2019 5:00:00 AM,RTO,0.000
12/15/2019 10:00:00 AM,12/15/2019 5:00:00 AM,RFC,0.000
12/15/2019 9:00:00 AM,12/15/2019 4:00:00 AM,MIDATL,0.000
12/15/2019 9:00:00 AM,12/15/2019 4:00:00 AM,OTHER,0.000
12/15/2019 9:00:00 AM,12/15/2019 4:00:00 AM,SOUTH,0.000
12/15/2019 9:00:00 AM,12/15/2019 4:00:00 AM,WEST,0.000
12/15/2019 9:00:00 AM,12/15/2019 4:00:00 AM,RTO,0.000
12/15/2019 9:00:00 AM,12/15/2019 4:00:00 AM,RFC,0.000
12/15/2019 8:00:00 AM,12/15/2019 3:00:00 AM,MIDATL,0.000
12/15/2019 8:00:00 AM,12/15/2019 3:00:00 AM,OTHER,0.000
12/15/2019 8:00:00 AM,12/15/2019 3:00:00 AM,SOUTH,0.000
12/15/2019 8:00:00 AM,12/15/2019 3:00:00 AM,WEST,0.000
12/15/2019 8:00:00 AM,12/15/2019 3:00:00 AM,RTO,0.000
12/15/2019 8:00:00 AM,12/15/2019 3:00:00 AM,RFC,0.000
12/15/2019 7:00:00 AM,12/15/2019 2:00:00 AM,MIDATL,0.000
12/15/2019 7:00:00 AM,12/15/2019 2:00:00 AM,OTHER,0.000
12/15/2019 7:00:00 AM,12/15/2019 2:00:00 AM,SOUTH,0.000
12/15/2019 7:00:00 AM,12/15/2019 2:00:00 AM,WEST,0.000
12/15/2019 7:00:00 AM,12/15/2019 2:00:00 AM,RTO,0.000
12/15/2019 7:00:00 AM,12/15/2019 2:00:00 AM,RFC,0.000
12/15/2019 6:00:00 AM,12/15/2019 1:00:00 AM,MIDATL,0.000
12/15/2019 6:00:00 AM,12/15/2019 1:00:00 AM,OTHER,0.000
12/15/2019 6:00:00 AM,12/15/2019 1:00:00 AM,SOUTH,0.000
12/15/2019 6:00:00 AM,12/15/2019 1:00:00 AM,WEST,0.000
12/15/2019 6:00:00 AM,12/15/2019 1:00:00 AM,RTO,0.000
12/15/2019 6:00:00 AM,12/15/2019 1:00:00 AM,RFC,0.000
12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,MIDATL,0.000
12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,OTHER,0.000
12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,SOUTH,0.000
12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,WEST,0.000
12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,RTO,0.000
12/15/2019 5:00:00 AM,12/15/2019 12:00:00 AM,RFC,0.000
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,MIDATL,0.000
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,OTHER,0.000
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,SOUTH,0.000
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,WEST,0.000
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,RTO,0.000
12/15/2019 4:00:00 AM,12/14/2019 11:00:00 PM,RFC,0.000
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,MIDATL,0.000
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,OTHER,0.000
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,SOUTH,0.000
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,WEST,0.000
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,RTO,0.000
12/15/2019 3:00:00 AM,12/14/2019 10:00:00 PM,RFC,0.000
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,MIDATL,0.000
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,OTHER,0.000
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,SOUTH,0.000
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,WEST,0.000
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,RTO,0.000
12/15/2019 2:00:00 AM,12/14/2019 9:00:00 PM,RFC,0.000
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,MIDATL,0.000
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,OTHER,0.000
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,SOUTH,0.000
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,WEST,0.000
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,RTO,0.000
12/15/2019 1:00:00 AM,12/14/2019 8:00:00 PM,RFC,0.000
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,MIDATL,0.000
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,OTHER,0.000
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,SOUTH,0.000
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,WEST,0.000
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,RTO,0.000
12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,RFC,0.000
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,MIDATL,0.000
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,OTHER,0.000
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,SOUTH,0.000
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,WEST,0.000
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,RTO,0.000
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,RFC,0.000
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,MIDATL,0.000
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,OTHER,0.000
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,SOUTH,0.000
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,WEST,0.000
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,RTO,0.000
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,RFC,0.000
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,MIDATL,0.000
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,OTHER,0.000
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,SOUTH,0.000
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,WEST,0.000
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,RTO,0.000
12/14/2019 9:00:00 PM,12/14/2019 4:00:00 PM,RFC,0.000
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,MIDATL,0.000
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,OTHER,0.000
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,SOUTH,0.000
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,WEST,0.000
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,RTO,0.000
12/14/2019 8:00:00 PM,12/14/2019 3:00:00 PM,RFC,0.000
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,MIDATL,0.000
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,OTHER,0.000
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,SOUTH,0.000
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,WEST,0.000
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,RTO,0.000
12/14/2019 7:00:00 PM,12/14/2019 2:00:00 PM,RFC,0.000
12/14/2019 6:00:00 PM,12/14/2019 1:00:00 PM,MIDATL,0.000
12/14/2019 6:00:00 PM,12/14/2019 1:00:00 PM,OTHER,0.000
12/14/2019 6:00:00 PM,12/14/2019 1:00:00 PM,SOUTH,0.000
12/14/2019 6:00:00 PM,12/14/2019 1:00:00 PM,WEST,0.000
12/14/2019 6:00:00 PM,12/14/2019 1:00:00 PM,RTO,0.000
12/14/2019 6:00:00 PM,12/14/2019 1:00:00 PM,RFC,0.000
12/14/2019 5:00:00 PM,12/14/2019 12:00:00 PM,MIDATL,0.000
12/14/2019 5:00:00 PM,12/14/2019 12:00:00 PM,OTHER,0.000
12/14/2019 5:00:00 PM,12/14/2019 12:00:00 PM,SOUTH,0.000
12/14/2019 5:00:00 PM,12/14/2019 12:00:00 PM,WEST,0.000
12/14/2019 5:00:00 PM,12/14/2019 12:00:00 PM,RTO,0.000
12/14/2019 5:00:00 PM,12/14/2019 12:00:00 PM,RFC,0.000
12/14/2019 4:00:00 PM,12/14/2019 11:00:00 AM,MIDATL,0.000
12/14/2019 4:00:00 PM,12/14/2019 11:00:00 AM,OTHER,0.000
12/14/2019 4:00:00 PM,12/14/2019 11:00:00 AM,SOUTH,0.000
12/14/2019 4:00:00 PM,12/14/2019 11:00:00 AM,WEST,0.000
12/14/2019 4:00:00 PM,12/14/2019 11:00:00 AM,RTO,0.000
12/14/2019 4:00:00 PM,12/14/2019 11:00:00 AM,RFC,0.000
12/14/2019 3:00:00 PM,12/14/2019 10:00:00 AM,MIDATL,0.000
12/14/2019 3:00:00 PM,12/14/2019 10:00:00 AM,OTHER,0.000
12/14/2019 3:00:00 PM,12/14/2019 10:00:00 AM,SOUTH,0.000
12/14/2019 3:00:00 PM,12/14/2019 10:00:00 AM,WEST,0.000
12/14/2019 3:00:00 PM,12/14/2019 10:00:00 AM,RTO,0.000
12/14/2019 3:00:00 PM,12/14/2019 10:00:00 AM,RFC,0.000
12/14/2019 2:00:00 PM,12/14/2019 9:00:00 AM,MIDATL,0.000
12/14/2019 2:00:00 PM,12/14/2019 9:00:00 AM,OTHER,0.000
